,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,8.66857635165184,8.57028859433084,8.78674853545875,11.4658794204296,11.4030207320026,11.792832279797,13.6827537190572,13.9127611039368,13.8462058148488,15.1191317214489,15.2656246950934,15.4152341606483
A,copy number,365000000,365000000,365000000,70149084.1783556,73198656.8164202,56220470.2275423,15640043.9207173,13384847.0101231,14001718.9764869,5914634.84487818,5356208.61685797,4840282.94031734
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,12.7830273124252,12.3311113671902,12.6303120429868,12.4615801159936,12.4218337485079,12.3973535545265,11.9913536047744,12.0165906999611,11.9693459774446,12.8417925378831,13.0951298496024,13.3117230207635
B,copy number,36500000,36500000,36500000,35749969.3361899,36724975.7692913,37338678.984439,49150410.0181931,48317802.8426723,49888174.8696096,27636896.8768718,23281206.3823876,20105961.2842439
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.2003774285086,15.9030850647224,16.1741304623605,12.064626398963,11.8756053963122,11.9798964147232,12.1048723041674,11.9388914855675,11.9647442044463,14.075284711406,13.6915545873222,13.9880015411952
C,copy number,3650000,3650000,3650000,46771810.7377755,53156737.5883784,49533119.2668122,45514677.5261382,50927405.5845414,50043835.1497361,11990292.7074424,15547136.8648301,12720141.5033029
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,19.1648459400643,19.2802164107794,19.2605257156255,13.0691613959994,12.9319642096592,13.0195528020284,11.6978023081053,11.7971970121313,11.7569520487784,13.3731587665542,13.4992687581012,13.6975175632667
D,copy number,365000,365000,365000,23694114.0993915,26000270.7987287,24503375.5709874,59956223.6641841,56054592.1667392,57602805.2183685,19286885.2003053,17708609.039696,15484502.0892218
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,22.4222389196122,22.4857547046849,23.0143370422403,15.9109709967791,16.0055841854414,15.800415282538,17.2275343677107,16.7574748354615,17.3314365355264,13.172904376143,13.3620142013189,13.3294656553178
E,copy number,36500,36500,36500,3460341.63000844,3245650.25154031,3729267.22435004,1419174.14738489,1950913.74759367,1322779.25759014,22087113.5195269,19432949.1046776,19865903.5840533
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,26.3559586702527,26.3442368432849,26.3515361179903,12.2002287672927,12.3027876641692,12.3274081205809,12.6485567708153,12.6753788308715,12.6980849465493,12.9177305803972,13.1692818766137,13.3679965469119
F,copy number,3650,3650,3650,42669315.9822514,39807261.472121,39149266.714249,31499422.9453413,30932614.8385488,30460764.5996291,26252018.7580269,22141345.8511208,19354405.7561417
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,29.2052877356745,28.8246830730831,29.1439449578217,12.0408716261646,12.002565017186,11.9903579825056,12.0736557532414,12.2117447654874,12.1298744414458,13.1049658112412,13.0935170895226,13.4364878982939
G,copy number,365,365,365,47530056.7929167,48778773.2108898,49183549.5567588,46486779.4521936,42337953.1468944,44750777.2163677,23126696.7666992,23306638.9783377,18477477.1503774
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,30.367459495596,30.3137520876599,30.3569366487473,11.956023221373,11.8243480217731,11.8680101924098,13.1185436329093,13.2110951711691,13.1953150033604,12.0939243432655,12.2052295024481,12.2874483388601
H,copy number,NaN,NaN,NaN,50340166.1105294,55033675.4953806,53430764.4327542,22915090.9676414,21523380.006092,21754545.1035644,45853266.9973594,42525106.7884383,40222792.8377983
