,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,,7.5231284067267,365000000
,A02,SYBR,,Std-01,,7.62193750905953,365000000
,A03,SYBR,,Std-01,,7.56342238563694,365000000
,A04,SYBR,,Unkn-01,,25.2777283555829,4114.3789054641
,A05,SYBR,,Unkn-01,,25.1479939680687,4475.5082969158
,A06,SYBR,,Unkn-01,,25.5951639352562,3348.90238666636
,A07,SYBR,,Unkn-09,,24.31676132263,7672.70915972708
,A08,SYBR,,Unkn-09,,24.4305164378802,7127.06990036601
,A09,SYBR,,Unkn-09,,24.0692607048443,9008.5359688807
,A10,SYBR,,Unkn-17,,25.0662466827409,4719.16841047969
,A11,SYBR,,Unkn-17,,25.1090660838075,4589.92852385062
,A12,SYBR,,Unkn-17,,27.4801921171659,986.296905593833
,B01,SYBR,,Std-02,,11.4297569798186,36500000
,B02,SYBR,,Std-02,,11.3717991019256,36500000
,B03,SYBR,,Std-02,,11.3754667390555,36500000
,B04,SYBR,,Unkn-02,,24.4894852617861,6859.66931397836
,B05,SYBR,,Unkn-02,,23.921063182812,9917.27170357354
,B06,SYBR,,Unkn-02,,23.7818795693502,10854.0433309014
,B07,SYBR,,Unkn-10,,24.4927509716127,6845.15731267393
,B08,SYBR,,Unkn-10,,24.4781621052181,6910.22529118598
,B09,SYBR,,Unkn-10,,24.6040842472255,6368.362795637
,B10,SYBR,,Unkn-18,,25.0003609824697,4925.17160234089
,B11,SYBR,,Unkn-18,,24.6723886265229,6092.43234099896
,B12,SYBR,,Unkn-18,,26.1077855578134,2401.75644088548
,C01,SYBR,,Std-03,,14.5822816247676,3650000
,C02,SYBR,,Std-03,,14.4703675694828,3650000
,C03,SYBR,,Std-03,,14.7820692300648,3650000
,C04,SYBR,,Unkn-03,,24.1693070226138,8442.62329644319
,C05,SYBR,,Unkn-03,,24.4171096438538,7189.30445411453
,C06,SYBR,,Unkn-03,,24.3302944173014,7605.66702050555
,C07,SYBR,,Unkn-11,,24.7389060978364,5835.21542092154
,C08,SYBR,,Unkn-11,,24.3441577114154,7537.59646059982
,C09,SYBR,,Unkn-11,,24.0483775250068,9131.36505945427
,C10,SYBR,,Unkn-19,,24.3907819103821,7313.10409671041
,C11,SYBR,,Unkn-19,,24.6518747327787,6174.02237023215
,C12,SYBR,,Unkn-19,,25.1468913038179,4478.70975097554
,D01,SYBR,,Std-04,,18.4942968370938,365000
,D02,SYBR,,Std-04,,18.6513242800848,365000
,D03,SYBR,,Std-04,,18.3918829192201,365000
,D04,SYBR,,Unkn-04,,23.9107654386433,9983.72117961356
,D05,SYBR,,Unkn-04,,24.1846526500382,8359.02272834865
,D06,SYBR,,Unkn-04,,24.2878330836985,7818.00630052707
,D07,SYBR,,Unkn-12,,24.2959091692118,7777.16811061827
,D08,SYBR,,Unkn-12,,24.0717273298789,8994.13749778654
,D09,SYBR,,Unkn-12,,24.0623278165864,9049.12899161286
,D10,SYBR,,Unkn-20,,23.978821477211,9552.68163632069
,D11,SYBR,,Unkn-20,,24.1029083130306,8814.0961791268
,D12,SYBR,,Unkn-20,,24.6506874762409,6178.77776192819
,E01,SYBR,,Std-05,,22.4755614727847,36500
,E02,SYBR,,Std-05,,21.949147939826,36500
,E03,SYBR,,Std-05,,21.8950979028524,36500
,E04,SYBR,,Unkn-05,,24.3304089172767,7605.10230084863
,E05,SYBR,,Unkn-05,,24.0145808478569,9333.70608009488
,E06,SYBR,,Unkn-05,,24.2707884455999,7904.90085178389
,E07,SYBR,,Unkn-13,,25.8330769946569,2870.1012989895
,E08,SYBR,,Unkn-13,,25.6447217166108,3242.98660040145
,E09,SYBR,,Unkn-13,,25.2773764361861,4115.31798715863
,E10,SYBR,,Unkn-21,,24.9756492459732,5004.7353961579
,E11,SYBR,,Unkn-21,,25.01874405362,4866.8056397648
,E12,SYBR,,Unkn-21,,25.6935661358495,3141.87374490391
,F01,SYBR,,Std-06,,25.170531005847,3650
,F02,SYBR,,Std-06,,25.9694007621565,3650
,F03,SYBR,,Std-06,,25.625365234057,3650
,F04,SYBR,,Unkn-06,,24.4294132122761,7132.17068565459
,F05,SYBR,,Unkn-06,,24.7322136638892,5860.59533084463
,F06,SYBR,,Unkn-06,,24.5682937580463,6517.90076555808
,F07,SYBR,,Unkn-14,,26.1219949529543,2379.72659444712
,F08,SYBR,,Unkn-14,,25.9612099418354,2641.2540084253
,F09,SYBR,,Unkn-14,,25.7050208452035,3118.62138207356
,F10,SYBR,,Unkn-22,,24.4457496063056,7057.01085111419
,F11,SYBR,,Unkn-22,,24.6108348689228,6340.54468515521
,F12,SYBR,,Unkn-22,,24.7192912173596,5909.91427842924
,G01,SYBR,,Std-07,,28.8485553477922,365
,G02,SYBR,,Std-07,,28.9872382151333,365
,G03,SYBR,,Std-07,,28.4040248722686,365
,G04,SYBR,,Unkn-07,,24.9264099515996,5167.1225007305
,G05,SYBR,,Unkn-07,,24.9362167087811,5134.36579163404
,G06,SYBR,,Unkn-07,,24.4859208752101,6875.54367805561
,G07,SYBR,,Unkn-15,,25.7286329611042,3071.23177592889
,G08,SYBR,,Unkn-15,,25.72199239283,3084.48616207559
,G09,SYBR,,Unkn-15,,25.5458437389981,3457.74459253415
,G10,SYBR,,Unkn-23,,24.1283915054862,8669.63392855198
,G11,SYBR,,Unkn-23,,24.2793488143024,7861.13954096944
,G12,SYBR,,Unkn-23,,25.6543626398086,3222.77441890744
,H01,SYBR,,NTC,,34.7937354896947,NaN
,H02,SYBR,,NTC,,35.8566810813809,NaN
,H03,SYBR,,NTC,,35.2375760611839,NaN
