,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,9.30667491909244,9.17056898637705,9.20848828351294,21.6213238576559,21.1025533829883,21.2290032128156,17.9615890967889,17.9869553276097,17.9181303146354,16.7515400293806,16.2123774637324,16.9313948577254
A,copy number,365000000,365000000,365000000,111560.153058332,156514.196895458,144115.847935449,1215779.69285162,1195817.40101328,1250757.75772406,2678189.4694465,3807729.05867493,2381561.18514831
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,13.0075281508033,12.7168168427711,12.9645109452426,17.2802213930004,16.5733092791869,17.2698412628612,17.3191665997211,17.458589635371,17.3400022295653,19.9827055186532,20.0007921885054,20.3031136739219
B,copy number,36500000,36500000,36500000,1896651.05645373,3008572.69984058,1909543.99181542,1849049.26599627,1688220.82451651,1824074.85965452,325066.913610623,321252.215221944,263726.398803059
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.3603840723356,16.1300755712925,16.0192250411574,17.3068052396396,17.3942664084098,17.1376135965905,20.1494284524752,20.3139575870206,20.1122661456544,18.9813513478675,18.9527164078385,19.6378806738494
C,copy number,3650000,3650000,3650000,1864027.39080721,1760603.51951665,2081658.0103013,291551.598657197,261866.482854184,298709.49093165,624891.988024543,636680.403712341,407110.966707724
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,19.7531366698607,19.8487673519679,19.8330815946468,20.9827560265162,20.4930916474593,20.2987769447808,19.8794391920087,19.8778847824256,19.7198669933436,18.9791263625937,18.8710871559939,19.1714041177206
D,copy number,365000,365000,365000,169242.760434938,232972.500577924,264473.914455379,347731.022691729,348083.977288737,385899.232155038,625800.095171054,671520.321556634,551994.578425795
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,23.3291794477105,23.2195845584711,23.2521641082614,19.848094264892,19.6626944304238,19.4988146779467,19.2444149387853,19.2139257345963,19.0228917900416,20.7627219046932,20.7942617664428,21.1658951285853
E,copy number,36500,36500,36500,354918.06552476,400570.887930507,445790.520040941,526308.053216061,536886.062665834,608177.552607189,195379.237025637,191398.481329277,150175.685754799
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,26.6314175238578,26.5928953314734,26.6473426550996,19.2215528415563,19.1658655103184,19.2624396525062,18.5639820148351,18.5297859071692,18.4141610049269,20.4567075706438,20.601599659386,20.9750887255951
F,copy number,3650,3650,3650,534220.118230006,553993.56652557,520152.799182444,820554.829110192,839074.332390534,904844.860499529,238571.009209422,217044.229613261,170091.802734603
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,30.7621829560224,30.3990390756581,30.7556580450805,19.440519985284,19.3207268027274,19.3110921453095,20.2736361448818,20.3496168225522,20.020537639382,17.4455999522171,17.3644404224792,17.6390116133148
G,copy number,365,365,365,463078.228537353,500736.838893202,503895.489748706,268849.331855014,255842.307663989,317138.754001311,1702594.2303269,1795211.79175851,1500682.92434426
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,36.78235135926,37.9167714618739,37.5113101517542,20.0723212984902,19.7783677947935,20.1469406874229,18.6833459122685,17.1163737363645,16.9966695438729,16.7457788037097,16.6873713871777,16.9632112991499
H,copy number,NaN,NaN,NaN,306599.415639187,371442.812198568,292025.368090691,759056.503865177,2110715.91795636,2282231.74196381,2688278.80508389,2792735.42470394,2332616.94228363
