,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,None
,A02,SYBR,,Std-01,,None
,A03,SYBR,,Std-01,,None
,A04,SYBR,,Unkn-01,,88
,A05,SYBR,,Unkn-01,,88
,A06,SYBR,,Unkn-01,,88
,A07,SYBR,,Unkn-09,,88.5
,A08,SYBR,,Unkn-09,,None
,A09,SYBR,,Unkn-09,,88.5
,A10,SYBR,,Unkn-17,,88
,A11,SYBR,,Unkn-17,,88
,A12,SYBR,,Unkn-17,,88
,B01,SYBR,,Std-02,,88.5
,B02,SYBR,,Std-02,,88.5
,B03,SYBR,,Std-02,,88.5
,B04,SYBR,,Unkn-02,,88.5
,B05,SYBR,,Unkn-02,,88.5
,B06,SYBR,,Unkn-02,,88.5
,B07,SYBR,,Unkn-10,,88
,B08,SYBR,,Unkn-10,,88
,B09,SYBR,,Unkn-10,,88
,B10,SYBR,,Unkn-18,,89
,B11,SYBR,,Unkn-18,,89
,B12,SYBR,,Unkn-18,,89
,C01,SYBR,,Std-03,,88.5
,C02,SYBR,,Std-03,,88.5
,C03,SYBR,,Std-03,,88.5
,C04,SYBR,,Unkn-03,,89
,C05,SYBR,,Unkn-03,,89
,C06,SYBR,,Unkn-03,,89
,C07,SYBR,,Unkn-11,,88
,C08,SYBR,,Unkn-11,,88
,C09,SYBR,,Unkn-11,,88
,C10,SYBR,,Unkn-19,,88.5
,C11,SYBR,,Unkn-19,,88.5
,C12,SYBR,,Unkn-19,,88.5
,D01,SYBR,,Std-04,,88.5
,D02,SYBR,,Std-04,,88.5
,D03,SYBR,,Std-04,,88.5
,D04,SYBR,,Unkn-04,,88.5
,D05,SYBR,,Unkn-04,,88.5
,D06,SYBR,,Unkn-04,,88.5
,D07,SYBR,,Unkn-12,,89.5
,D08,SYBR,,Unkn-12,,89.5
,D09,SYBR,,Unkn-12,,89.5
,D10,SYBR,,Unkn-20,,88
,D11,SYBR,,Unkn-20,,88
,D12,SYBR,,Unkn-20,,88.5
,E01,SYBR,,Std-05,,88.5
,E02,SYBR,,Std-05,,88.5
,E03,SYBR,,Std-05,,88.5
,E04,SYBR,,Unkn-05,,88.5
,E05,SYBR,,Unkn-05,,88.5
,E06,SYBR,,Unkn-05,,88.5
,E07,SYBR,,Unkn-13,,89
,E08,SYBR,,Unkn-13,,89
,E09,SYBR,,Unkn-13,,89
,E10,SYBR,,Unkn-21,,89
,E11,SYBR,,Unkn-21,,89
,E12,SYBR,,Unkn-21,,89
,F01,SYBR,,Std-06,,88.5
,F02,SYBR,,Std-06,,88.5
,F03,SYBR,,Std-06,,88.5
,F04,SYBR,,Unkn-06,,88
,F05,SYBR,,Unkn-06,,88
,F06,SYBR,,Unkn-06,,88
,F07,SYBR,,Unkn-14,,88
,F08,SYBR,,Unkn-14,,88
,F09,SYBR,,Unkn-14,,88
,F10,SYBR,,Unkn-22,,89
,F11,SYBR,,Unkn-22,,89
,F12,SYBR,,Unkn-22,,89.5
,G01,SYBR,,Std-07,,88.5
,G02,SYBR,,Std-07,,88.5
,G03,SYBR,,Std-07,,88.5
,G04,SYBR,,Unkn-07,,88.5
,G05,SYBR,,Unkn-07,,88.5
,G06,SYBR,,Unkn-07,,88.5
,G07,SYBR,,Unkn-15,,88.5
,G08,SYBR,,Unkn-15,,88.5
,G09,SYBR,,Unkn-15,,88.5
,G10,SYBR,,Unkn-23,,88
,G11,SYBR,,Unkn-23,,88
,G12,SYBR,,Unkn-23,,88
,H01,SYBR,,NTC,,None
,H02,SYBR,,NTC,,None
,H03,SYBR,,NTC,,None
,H04,SYBR,,Unkn-08,,88
,H05,SYBR,,Unkn-08,,88
,H06,SYBR,,Unkn-08,,88
,H07,SYBR,,Unkn-16,,89
,H08,SYBR,,Unkn-16,,89
,H09,SYBR,,Unkn-16,,89
,H10,SYBR,,Unkn-24,,88.5
,H11,SYBR,,Unkn-24,,88.5
,H12,SYBR,,Unkn-24,,88.5
