,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,91,2854.51646376619,86,95,
,A02,SYBR,,Std-01,,91,2646.55227903655,84.5,95,
,A03,SYBR,,Std-01,,91,2725.1199544173,84.5,95,
,A04,SYBR,,Unkn-01,,89.5,1804.17796830344,68,95,
,A05,SYBR,,Unkn-01,,90,1904.51208127278,69,95,
,A06,SYBR,,Unkn-01,,89.5,1903.53384411432,67.5,95,
,A07,SYBR,,Unkn-09,,89.5,1896.01023539783,67.5,95,
,A08,SYBR,,Unkn-09,,90,1749.10739866188,67.5,95,
,A09,SYBR,,Unkn-09,,87.5,1419.14335171059,68.5,95,
,A10,SYBR,,Unkn-17,,91,2161.97982949414,80,95,
,A11,SYBR,,Unkn-17,,91,2090.17134964033,68.5,95,
,A12,SYBR,,Unkn-17,,91,2252.05284929996,84.5,95,
,B01,SYBR,,Std-02,,91,2847.0031203386,83,95,
,B02,SYBR,,Std-02,,91,2840.91819167622,83.5,95,
,B03,SYBR,,Std-02,,91,2843.31072983388,84,95,
,B04,SYBR,,Unkn-02,,86,1397.12820750406,67.5,94,
,B05,SYBR,,Unkn-02,,89.5,1887.22814000936,68.5,95,
,B06,SYBR,,Unkn-02,,90,2058.52138118818,67.5,95,
,B07,SYBR,,Unkn-10,,90,2092.1380322236,67.5,95,
,B08,SYBR,,Unkn-10,,90,2109.72517968439,77.5,95,
,B09,SYBR,,Unkn-10,,90,2178.05201055711,75.5,95,
,B10,SYBR,,Unkn-18,,90,2011.06260788709,80,95,
,B11,SYBR,,Unkn-18,,90,2007.11159765771,80,95,
,B12,SYBR,,Unkn-18,,90.5,2096.30671008672,81.5,95,
,C01,SYBR,,Std-03,,91,2753.14273095466,84,94,
,C02,SYBR,,Std-03,,91,2878.33482859648,83.5,95,
,C03,SYBR,,Std-03,,91,2783.41403586436,83.5,95,
,C04,SYBR,,Unkn-03,,89.5,1945.93602993893,67.5,95,
,C05,SYBR,,Unkn-03,,89.5,2138.39223786084,70,95,
,C06,SYBR,,Unkn-03,,89.5,2138.75929422069,67.5,95,
,C07,SYBR,,Unkn-11,,88,1361.0641173445,79,95,
,C08,SYBR,,Unkn-11,,87.5,1493.64398975975,78.5,95,
,C09,SYBR,,Unkn-11,,88,1348.6641048602,78,95,
,C10,SYBR,,Unkn-19,,90,2187.26631380516,67.5,95,
,C11,SYBR,,Unkn-19,,90,2307.59111189712,70,95,
,C12,SYBR,,Unkn-19,,90,2328.72346323297,79.5,95,
,D01,SYBR,,Std-04,,91,2653.84466648351,84,95,
,D02,SYBR,,Std-04,,91,2583.19077561222,83.5,94,
,D03,SYBR,,Std-04,,91,2587.39316418791,83,94,
,D04,SYBR,,Unkn-04,,None,None,None,None,
,D05,SYBR,,Unkn-04,,None,None,None,None,
,D06,SYBR,,Unkn-04,,None,None,None,None,
