,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,16208.4036850286,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,17885.2572676782,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,18335.6538429727,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,13070.0589413861,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,13251.1256769859,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,12941.1793464622,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,24.6050796497397,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,20.5838282658213,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,87.5437807393002,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,13437.6137006562,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,13115.4325505402,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,13529.4261780252,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,17216.0789639182,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,16346.6035704221,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,16529.2373368076,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,13628.5658005172,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,14040.4403051109,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,13618.4659631363,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,9.22767756688663,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,987.713164693045,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,738.489022806349,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,14218.4847361981,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,14189.9470216643,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,13483.9190457666,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,16506.5877209785,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,18764.2356851598,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,18379.2259796969,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,14265.1103015183,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,14928.0151504583,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,14963.0213523965,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,22.9131379003915,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,3023.57922654988,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,2543.2577751071,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,14164.9153301738,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,13983.3393968445,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,13194.7294453998,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,18557.1335209087,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,17655.9589198121,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18117.1730646749,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,14081.2778070307,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,14498.5114474933,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,14042.0813989484,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,2961.01759259095,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,65.6149488574279,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,64.9108188533646,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,13187.4847902124,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,13211.6104200793,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,13174.3076863984,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17904.9827737066,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,18107.1558590835,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,18241.0715672573,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,15955.0994328867,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,14254.5276026899,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,15420.777545459,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,666.587558460827,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,65.3478244183279,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,44.0843154013821,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,9266.19919721961,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,9023.1490539771,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,9033.585378354,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,16567.8541640975,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,17455.244228117,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,17838.2004767734,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,14114.1861242733,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,14676.2945255739,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,14919.1418582215,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,1204.54713969635,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,272.799486618073,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,1677.63310003262,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,4186.296392389,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,5875.2344622293,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,6071.94117283258,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,15366.0207460637,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,5539.73662520512,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,17137.6195902125,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,13829.8822017847,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,13639.0761981218,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,14584.7444070251,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,77.3190434559834,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,45.4283455827826,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,34.8261567409632,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,13313.4476416167,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,13280.0143065385,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,12884.9943895888,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,456.554637047672,,NTC,Unassigned,False
,H02,SYBR,,NTC,,5442.67873263267,,NTC,Unassigned,False
,H03,SYBR,,NTC,,1288.24037216579,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,13146.3897379805,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,14118.2506305626,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,14108.8369219049,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,568.686475074755,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,383.162459548783,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,24.8305265681582,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,12261.6231932425,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,12544.0094288693,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,12576.2280623982,,Unknown,Unassigned,False
