,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,,,7.53419314538007,7.43867512849852,0.0889570331259153,365000000,8.56229286445648,365000000,0,60,
,A02,SYBR,,Std-01,,,7.35819632359097,7.43867512849852,0.0889570331259153,365000000,8.56229286445648,365000000,0,60,
,A03,SYBR,,Std-01,,,7.42363591652451,7.43867512849852,0.0889570331259153,365000000,8.56229286445648,365000000,0,60,
,A04,SYBR,,Unkn-01,,,25.6403929790966,25.3490369459361,0.257738814095566,2820.38349623888,3.45030816469407,3446.66843429902,557.668259323914,60,
,A05,SYBR,,Unkn-01,,,25.2559235823762,25.3490369459361,0.257738814095566,3630.12177608006,3.55992119412496,3446.66843429902,557.668259323914,60,
,A06,SYBR,,Unkn-01,,,25.1507942763356,25.3490369459361,0.257738814095566,3889.50003057812,3.58989377923933,3446.66843429902,557.668259323914,60,
,A07,SYBR,,Unkn-09,,,27.3163641301167,27.410213653141,0.276513440512655,938.610229099011,2.97248528290124,891.98322029746,154.590860826255,60,
,A08,SYBR,,Unkn-09,,,27.7214372664389,27.410213653141,0.276513440512655,719.445804311888,2.85699808420065,891.98322029746,154.590860826255,60,
,A09,SYBR,,Unkn-09,,,27.1928395628675,27.410213653141,0.276513440512655,1017.89362748148,3.00770239547462,891.98322029746,154.590860826255,60,
,A10,SYBR,,Unkn-17,,,24.6173510020638,25.0672756981283,0.411209410566792,5520.51472801127,3.74197957285839,4212.04031591587,1173.8041755073,60,
,A11,SYBR,,Unkn-17,,,25.1608264589918,25.0672756981283,0.411209410566792,3863.96855061398,3.58703358297369,4212.04031591587,1173.8041755073,60,
,A12,SYBR,,Unkn-17,,,25.4236496333291,25.0672756981283,0.411209410566792,3251.63766912237,3.51210214606481,4212.04031591587,1173.8041755073,60,
,B01,SYBR,,Std-02,,,11.1767174206706,11.4869642215155,0.65916270982178,36500000,7.56229286445647,36500000,0,60,
,B02,SYBR,,Std-02,,,11.0401692969604,11.4869642215155,0.65916270982178,36500000,7.56229286445647,36500000,0,60,
,B03,SYBR,,Std-02,,,12.2440059469154,11.4869642215155,0.65916270982178,36500000,7.56229286445647,36500000,0,60,
,B04,SYBR,,Unkn-02,,,25.3408645540511,25.4071243248673,0.10546747458795,3433.24143574092,3.5357043453783,3292.29013625769,223.273217298592,60,
,B05,SYBR,,Unkn-02,,,25.3517634182431,25.4071243248673,0.10546747458795,3408.76495574082,3.53259705639346,3292.29013625769,223.273217298592,60,
,B06,SYBR,,Unkn-02,,,25.5287450023077,25.4071243248673,0.10546747458795,3034.86401729132,3.48213923647781,3292.29013625769,223.273217298592,60,
,B07,SYBR,,Unkn-10,,,25.4634428505578,25.4637839242709,0.0730351152835718,3167.7946176846,3.50075701657349,3169.51240521401,151.894700173765,60,
,B08,SYBR,,Unkn-10,,,25.5369889791037,25.4637839242709,0.0730351152835718,3018.4838839458,3.47978886144439,3169.51240521401,151.894700173765,60,
,B09,SYBR,,Unkn-10,,,25.3909199431511,25.4637839242709,0.0730351152835718,3322.25871401163,3.52143344921493,3169.51240521401,151.894700173765,60,
,B10,SYBR,,Unkn-18,,,23.3173782395101,23.4465703321318,0.177625439227991,12959.9858510433,4.11260452739745,11959.1014032803,1349.9760716089,60,
,B11,SYBR,,Unkn-18,,,23.3732067863009,23.4465703321318,0.177625439227991,12493.6027216203,4.09668769189724,11959.1014032803,1349.9760716089,60,
,B12,SYBR,,Unkn-18,,,23.6491259705846,23.4465703321318,0.177625439227991,10423.7156371772,4.01802255515183,11959.1014032803,1349.9760716089,60,
,C01,SYBR,,Std-03,,,14.8540729140462,14.7036061374157,0.216900806917192,3650000,6.56229286445647,3650000,0,60,
,C02,SYBR,,Std-03,,,14.4549779052061,14.7036061374157,0.216900806917192,3650000,6.56229286445647,3650000,0,60,
,C03,SYBR,,Std-03,,,14.8017675929948,14.7036061374157,0.216900806917192,3650000,6.56229286445647,3650000,0,60,
,C04,SYBR,,Unkn-03,,,25.6267045990508,25.734105370624,0.188570688527464,2845.84177669531,3.45421075048533,2665.34554585626,317.392935726814,60,
,C05,SYBR,,Unkn-03,,,25.9518414545706,25.734105370624,0.188570688527464,2298.86544706233,3.36151355269231,2665.34554585626,317.392935726814,60,
,C06,SYBR,,Unkn-03,,,25.6237700582506,25.734105370624,0.188570688527464,2851.32941381114,3.45504739420743,2665.34554585626,317.392935726814,60,
,C07,SYBR,,Unkn-11,,,25.5472263700992,25.6769913170448,0.351999900652504,2998.26599942101,3.47687015985187,2800.84419096861,607.021294054587,60,
,C08,SYBR,,Unkn-11,,,26.0754524528561,25.6769913170448,0.351999900652504,2119.68730332743,3.32627179844964,2800.84419096861,607.021294054587,60,
,C09,SYBR,,Unkn-11,,,25.4082951281791,25.6769913170448,0.351999900652504,3284.57927015739,3.51647974760932,2800.84419096861,607.021294054587,60,
,C10,SYBR,,Unkn-19,,,24.2086637675649,24.336860023144,0.153941984041497,7219.33439477032,3.85849715851096,6658.95868225375,659.0004590154,60,
,C11,SYBR,,Unkn-19,,,24.2943165807452,24.336860023144,0.153941984041497,6824.60252136791,3.83407736226174,6658.95868225375,659.0004590154,60,
,C12,SYBR,,Unkn-19,,,24.507599721122,24.336860023144,0.153941984041497,5932.93913062302,3.77326989268767,6658.95868225375,659.0004590154,60,
,D01,SYBR,,Std-04,,,18.1878177178689,18.3370439460959,0.152009577015692,365000,5.56229286445647,365000,0,60,
,D02,SYBR,,Std-04,,,18.4916918096083,18.3370439460959,0.152009577015692,365000,5.56229286445647,365000,0,60,
,D03,SYBR,,Std-04,,,18.3316223108103,18.3370439460959,0.152009577015692,365000,5.56229286445647,365000,0,60,
,D04,SYBR,,Unkn-04,,,24.7552805598926,24.7239306958628,0.0845030129376953,5042.61216661648,3.70265556733117,5152.79431338298,289.509911566451,60,
,D05,SYBR,,Unkn-04,,,24.7882785650643,24.7239306958628,0.0845030129376953,4934.55242169313,3.69324776701496,5152.79431338298,289.509911566451,60,
,D06,SYBR,,Unkn-04,,,24.6282329626314,24.7239306958628,0.0845030129376953,5481.21835183935,3.73887710313224,5152.79431338298,289.509911566451,60,
,D07,SYBR,,Unkn-12,,,24.2293340736277,24.153281001595,0.0739649635925217,7122.0334813772,3.85260401100394,7492.51558602371,362.918754454762,60,
,D08,SYBR,,Unkn-12,,,24.1489110179129,24.153281001595,0.0739649635925217,7508.14744066738,3.8755327924575,7492.51558602371,362.918754454762,60,
,D09,SYBR,,Unkn-12,,,24.0815979132443,24.153281001595,0.0739649635925217,7847.36583602656,3.89472389943784,7492.51558602371,362.918754454762,60,
,D10,SYBR,,Unkn-20,,,23.9745105899956,24.0487775221008,0.144221905373123,8418.88775572474,3.92525471935501,8041.82375071266,739.872547123202,60,
,D11,SYBR,,Unkn-20,,,23.9568246794827,24.0487775221008,0.144221905373123,8517.2032167623,3.93029700944648,8041.82375071266,739.872547123202,60,
,D12,SYBR,,Unkn-20,,,24.2149972968241,24.0487775221008,0.144221905373123,7189.38027965093,3.85669145606752,8041.82375071266,739.872547123202,60,
,E01,SYBR,,Std-05,,,21.8867785948303,21.7560194846964,0.336027102164152,36500,4.56229286445647,36500,0,60,
