,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G11,SYBR,,Unkn-23,,9985.77718539843,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,9708.97924458298,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,7094.6509663002,,NTC,Unassigned,False
,H02,SYBR,,NTC,,5277.09916611139,,NTC,Unassigned,False
,H03,SYBR,,NTC,,7127.56033246081,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,8911.01286370481,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,9432.39623548929,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,9108.88354719675,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,12494.5160014344,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,12247.17781027,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,12625.817158456,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,7427.9452448007,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,6273.23929363444,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,7369.11451776676,,Unknown,Unassigned,False
