,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,10.6645683725574,10.7878206784835,10.0273879545737,20.4630901815077,20.7248768463556,19.8104331253002,19.4912806851796,20.1993630009124,19.3962609077239,18.2037060393072,18.6280648368319,18.8492664446008
A,copy number,365000000,365000000,365000000,1431915.6379292,1244173.44504924,2032763.13766985,2412672.18881285,1649705.31856139,2538940.48994188,4816160.88939561,3834954.39535004,3405542.0867153
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,15.4901215533774,15.1169989522504,15.1593551072126,19.3831667520149,22.2263438274571,18.8430321163171,18.5100961102557,22.0592289888578,18.0317537673402,18.368251949311,18.0196781295852,18.4968410514341
B,copy number,36500000,36500000,36500000,2556851.29934957,555659.175929092,3416959.31594747,4085686.47992416,607815.704940656,5281925.586697,4408963.61407146,5316278.90359582,4114864.15383798
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,18.3344200713784,18.6052554232218,19.2014131721261,19.3518353254457,20.9697986803355,19.0848542606143,20.8541440435139,21.1727048595673,19.7400394919863,23.589055248562,25.6254079449422,25.0914380941644
C,copy number,3650000,3650000,3650000,2600222.465426,1090878.84463805,3000945.46709548,1160758.34584895,978291.348148406,2111053.82161758,267354.446879175,89599.2641193663,119344.233001948
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,21.5742551150976,21.3700662056724,21.4953365118957,20.2698708701186,21.292220089301,18.8940287098863,19.3334533575218,18.4857946452353,18.2907697136443,16.9606757355451,17.8930454843315,18.5590364882011
D,copy number,365000,365000,365000,1588426.81782753,917493.098715741,3324679.36823267,2626009.71386153,4139339.15512087,4596230.25498514,9386809.00400768,5690266.60084701,3979737.3593619
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,26.7210780872315,27.0995844054366,26.7118135741813,39.3949328722322,18.8888193030067,18.5462231744495,18.7019235575359,18.3687270141429,18.0183660256328,18.0000699724798,18.9000110633628,18.4470299684234
E,copy number,36500,36500,36500,55.1937734722626,3333990.51786607,4007207.96819571,3685867.99035086,4407839.28915101,5320025.06764124,5372537.67156561,3314018.74873525,4226385.7725142
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,31.4034073726346,30.6753018552687,30.5613269927122,39.506259024088,18.0321255272791,19.4106876502044,17.9211277724327,17.8204130888051,17.2272200962204,17.5381650492787,18.2034618768453,17.8395216585496
F,copy number,3650,3650,3650,51.991697043792,5280871.51694796,2519352.13864264,5605122.74860137,5916530.65746187,8135274.34239924,6884529.52415488,4816792.23355456,5856145.8883186
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,39.5318735037052,34.1479494139359,38.5129549276328,39.4407013220858,22.1196989090907,23.2826970206259,21.058947270384,21.5986760445733,20.0678469089438,25.7072385088638,27.1673829169481,26.5822063101316
G,copy number,365,365,365,53.8541291847415,588400.641473183,315149.002532835,1039899.1053237,778308.002617761,1770393.57706034,85748.2670741193,39155.0174178014,53607.2410113818
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,39.452907061121,37.41261442091,38.1774498444209,38.9487979210078,21.6900378014454,22.8933456458192,18.253384837196,18.1312673045845,17.328865921379,16.1626984195333,16.2550045978738,16.1226647830816
H,copy number,NaN,NaN,NaN,70.130681361698,741054.541353322,388413.765448782,4689409.89886061,5007146.96561231,7703234.39138225,14406857.7486031,13710325.0049912,14719845.6007931
