,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,,17927.2318346492,,Standard,Unassigned,False
,A02,SYBR,,Std-01,,18406.6023811897,,Standard,Unassigned,False
,A03,SYBR,,Std-01,,19817.0730889444,,Standard,Unassigned,False
,A04,SYBR,,Unkn-01,,4205.99196910465,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-01,,6094.68924657609,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-01,,6032.34964226251,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-09,,11811.9319108324,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-09,,11752.4784519604,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-09,,11353.6913737011,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-17,,10507.3118479017,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-17,,10433.3906221354,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-17,,9709.53176839617,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,,16424.4280292471,,Standard,Unassigned,False
,B02,SYBR,,Std-02,,17879.5510260507,,Standard,Unassigned,False
,B03,SYBR,,Std-02,,17524.650651196,,Standard,Unassigned,False
,B04,SYBR,,Unkn-02,,8061.47688890962,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-02,,8244.98675497803,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-02,,6887.9561957692,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-10,,4591.8542092156,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-10,,4716.67619109127,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-10,,5364.83759706889,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-18,,10938.9662951571,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-18,,10683.0886865977,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-18,,10469.2131510903,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,,17170.8671751598,,Standard,Unassigned,False
,C02,SYBR,,Std-03,,19849.680096935,,Standard,Unassigned,False
,C03,SYBR,,Std-03,,18574.77153861,,Standard,Unassigned,False
,C04,SYBR,,Unkn-03,,4759.69884983474,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-03,,4710.72943787846,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-03,,4589.30392886501,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-11,,10505.3687785751,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-11,,10468.6748921484,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-11,,10559.1270093252,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-19,,11581.4591668891,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-19,,13032.9779835212,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-19,,10462.8882546333,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,,18287.0179065838,,Standard,Unassigned,False
,D02,SYBR,,Std-04,,18999.888412458,,Standard,Unassigned,False
,D03,SYBR,,Std-04,,18493.7769380672,,Standard,Unassigned,False
,D04,SYBR,,Unkn-04,,8604.58970607243,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-04,,8850.09579586583,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-04,,9441.58736921803,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-12,,10561.9944277892,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-12,,11100.595569397,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-12,,10758.7558741854,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-20,,12902.363281785,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-20,,12322.5189479988,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-20,,11948.3875094853,,Unknown,Unassigned,False
,E01,SYBR,,Std-05,,17767.9664607609,,Standard,Unassigned,False
,E02,SYBR,,Std-05,,19355.8359578932,,Standard,Unassigned,False
,E03,SYBR,,Std-05,,18941.7288457599,,Standard,Unassigned,False
,E04,SYBR,,Unkn-05,,9154.48552962903,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-05,,8352.17229184608,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-05,,10064.1134064681,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-13,,11931.1818387723,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-13,,11872.1080654935,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-13,,11470.4810016085,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-21,,10856.279514145,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-21,,10436.4050708329,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-21,,10263.3486283357,,Unknown,Unassigned,False
,F01,SYBR,,Std-06,,17469.3153155329,,Standard,Unassigned,False
,F02,SYBR,,Std-06,,18256.5668527621,,Standard,Unassigned,False
,F03,SYBR,,Std-06,,18633.5246310602,,Standard,Unassigned,False
,F04,SYBR,,Unkn-06,,12168.010816444,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-06,,12690.466926298,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-06,,12429.5716298765,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-14,,14526.8244981486,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-14,,14941.8812345738,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-14,,14460.3691064295,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-22,,10032.3873098389,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-22,,10989.7318263161,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-22,,10547.284070268,,Unknown,Unassigned,False
,G01,SYBR,,Std-07,,17134.3387518214,,Standard,Unassigned,False
,G02,SYBR,,Std-07,,16880.5644780727,,Standard,Unassigned,False
,G03,SYBR,,Std-07,,16959.0260832638,,Standard,Unassigned,False
,G04,SYBR,,Unkn-07,,13147.7491214607,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-07,,14027.9632650865,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-07,,13845.2347788239,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-15,,12069.6622157088,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-15,,11137.8469724478,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-15,,11349.1971428464,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-23,,7124.57747822405,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-23,,6788.38402168719,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-23,,6257.35230269018,,Unknown,Unassigned,False
,H01,SYBR,,NTC,,1268.43058127064,,NTC,Unassigned,False
,H02,SYBR,,NTC,,3320.75688108614,,NTC,Unassigned,False
,H03,SYBR,,NTC,,347.818075230787,,NTC,Unassigned,False
,H04,SYBR,,Unkn-08,,13830.3154429503,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-08,,14048.4729939846,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-08,,14456.6674079309,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-16,,9201.67530209695,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-16,,8959.64189910114,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-16,,8472.80119619499,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-24,,9412.41112465,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-24,,9689.76465899513,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-24,,9481.87543954741,,Unknown,Unassigned,False
