,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-17
A,Sample,,,,,,,,,,,,
A,Cq,8.91515647476025,9.12260690426415,8.54525540546729,22.4178908538478,22.2565216894902,21.9283726817618,21.5339440054337,21.443410354191,21.0878541846182,19.5588656626249,20.206293539326,20.2865038854946
A,copy number,365000000,365000000,365000000,80015.7102986767,88682.8122924797,109311.391671372,140551.814044211,148899.967570304,186769.689935202,494884.624097653,327572.268644752,311247.801699292
B,Content,Std-2,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-18
B,Sample,,,,,,,,,,,,
B,Cq,13.1209144304877,13.0487042242407,12.9172651287955,22.2671366314323,22.2543004967383,21.9451721060113,21.1909432502959,20.637068905461,20.3160925207417,18.5136113977527,18.1043764689838,19.2656499822328
B,copy number,36500000,36500000,36500000,88084.8916962278,88808.4406715107,108147.288098757,174893.282301971,248929.267959094,305433.501221199,963412.445759339,1250493.38485198,596569.418526175
C,Content,Std-3,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-19
C,Sample,,,,,,,,,,,,
C,Cq,16.6654180749309,16.9197559906624,16.3793073696609,21.9953356403435,21.6663713745289,21.7324791776856,19.7947901699009,19.4889676501185,19.5060107967865,18.2265657668535,17.4684864262957,18.6145640886241
C,copy number,3650000,3650000,3650000,104744.501775613,129176.303072455,123846.961326542,425798.512409767,517428.708330139,511838.880460625,1156808.61847095,1875360.47243191,903379.632174284
D,Content,Std-4,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-20
D,Sample,,,,,,,,,,,,
D,Cq,20.098362463194,20.2271983387276,20.0162282895097,18.7312212798608,19.0806803847066,18.7428126801082,19.5192186072282,19.8832506699931,19.4494528180357,21.3286084307815,20.3648562128568,20.496549844358
D,copy number,365000,365000,365000,838651.644485661,671208.380442932,832479.032688268,507548.536048317,402457.295355722,530624.798370623,160202.684357009,296087.262345606,272250.826152218
E,Content,Std-5,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-21
E,Sample,,,,,,,,,,,,
E,Cq,23.5758791779391,23.8832685446214,23.4859582495193,20.1596184691792,19.9498609560492,20.1268927645354,20.441352044357,20.6226191081456,20.1814916235289,22.1744154557903,20.9739998197129,20.6387947623022
E,copy number,36500,36500,36500,337462.857916744,385729.833515922,344575.09841866,281998.632385398,251232.266168727,332791.227468479,93446.9307289765,200825.712144717,248655.617280103
F,Content,Std-6,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-22
F,Sample,,,,,,,,,,,,
F,Cq,27.1073767591142,26.9872358066435,27.0139851990166,19.3524112968944,19.2506458831801,19.549052163878,23.6652255548169,24.2574475585538,23.1223198771643,18.133730911542,18.1075706263709,18.2003669899672
F,copy number,3650,3650,3650,564477.91666307,602301.384753151,497989.478680253,36135.5446900962,24775.2361973202,51074.1916422217,1227316.56793797,1247950.36141428,1176285.87939222
G,Content,Std-7,Std-7,Std-7,Unkn-7,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-23
G,Sample,,,,,,,,,,,,
G,Cq,30.5446675297987,31.0152941400242,31.1774336713715,24.0580603549779,24.3211249967778,24.1537250398559,18.3573132380396,18.5460763519345,17.6439525437557,18.0637610740261,18.0892354921641,18.2416630171852
G,copy number,365,365,365,28132.2670264118,23789.9204950068,26468.3215342731,1064321.6051606,943683.833109163,1676944.82343651,1283284.76111959,1262618.53093912,1145731.51175463
H,Content,NTC,NTC,NTC,Unkn-8,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-24
H,Sample,,,,,,,,,,,,
H,Cq,NaN,38.1363982095815,NaN,22.4115138349263,22.5545884333127,22.562128963631,18.746727809656,18.7308778288817,18.9183562736767,21.1387932234587,21.1629656401396,20.9018472063367
H,copy number,NaN,NaN,NaN,80341.5698198532,73339.803236294,72988.1997876388,830404.442330806,838835.234271271,744364.881163604,180803.716511383,178039.697104116,210276.098489006
