,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,,88.5,3312.37727981287,83,95,
,A02,SYBR,,Std-01,,88.5,3214.78321852536,84,91.5,
,A03,SYBR,,Std-01,,88.5,3284.0871877301,84,95,
,A04,SYBR,,Unkn-01,,92,2187.80974634132,83.5,95,
,A05,SYBR,,Unkn-01,,92,2126.33337736369,84.5,95,
,A06,SYBR,,Unkn-01,,92,2231.46417011428,83,95,
,A07,SYBR,,Unkn-09,,90.5,1513.0758023609,82,95,
,A08,SYBR,,Unkn-09,,90.5,1511.3488897618,82,95,
,A09,SYBR,,Unkn-09,,91,1516.41674511498,82,95,
,A10,SYBR,,Unkn-17,,91.5,1924.10278152526,84,95,
,A11,SYBR,,Unkn-17,,91,2033.33996763346,83.5,95,
,A12,SYBR,,Unkn-17,,91.5,2130.22203611725,86.5,95,
,B01,SYBR,,Std-02,,88.5,3176.32027741842,82.5,91.5,
,B02,SYBR,,Std-02,,88.5,3049.84964834557,84,91.5,
,B03,SYBR,,Std-02,,88.5,3164.14953195105,84,91.5,
,B04,SYBR,,Unkn-02,,92,1979.31093554716,79,95,
,B05,SYBR,,Unkn-02,,92,1935.48985519839,81.5,95,
,B06,SYBR,,Unkn-02,,92,2015.47256418553,81,95,
,B07,SYBR,,Unkn-10,,91,2024.50036191599,84,95,
,B08,SYBR,,Unkn-10,,90.5,2054.14770547295,84.5,95,
,B09,SYBR,,Unkn-10,,90.5,2115.64089872404,84,95,
,B10,SYBR,,Unkn-18,,90.5,2134.61107773485,84,95,
,B11,SYBR,,Unkn-18,,90.5,2147.31307664065,83.5,95,
,B12,SYBR,,Unkn-18,,91,2134.61535881015,86.5,95,
,C01,SYBR,,Std-03,,88,3020.81368700078,83.5,91.5,
,C02,SYBR,,Std-03,,88,3284.81184189503,84,91.5,
,C03,SYBR,,Std-03,,88,3135.11592818796,84,91.5,
,C04,SYBR,,Unkn-03,,92,1976.50687445958,82.5,95,
,C05,SYBR,,Unkn-03,,92,2172.50402886003,82,95,
,C06,SYBR,,Unkn-03,,92,2147.76452509649,82.5,95,
,C07,SYBR,,Unkn-11,,91,2048.44027357939,84.5,95,
,C08,SYBR,,Unkn-11,,91,1989.51848166222,84.5,95,
,C09,SYBR,,Unkn-11,,91,2011.39189555471,84.5,95,
,C10,SYBR,,Unkn-19,,90,2026.83735173374,82,95,
,C11,SYBR,,Unkn-19,,90,2156.37111956651,82.5,95,
,C12,SYBR,,Unkn-19,,90,2136.26110490111,81.5,95,
,D01,SYBR,,Std-04,,88.5,3216.19630884506,84,91.5,
,D02,SYBR,,Std-04,,88,3046.39067727169,84,91.5,
,D03,SYBR,,Std-04,,88,3066.95876920218,83.5,95,
,D04,SYBR,,Unkn-04,,89.5,2060.63506365558,81.5,95,
,D05,SYBR,,Unkn-04,,89.5,2162.30957571009,82,95,
,D06,SYBR,,Unkn-04,,89.5,2212.63340272003,82,95,
,D07,SYBR,,Unkn-12,,91,2013.40563799051,84,95,
,D08,SYBR,,Unkn-12,,91,1968.34237199499,84,95,
,D09,SYBR,,Unkn-12,,91,1868.84349644485,83.5,95,
,D10,SYBR,,Unkn-20,,90,1868.00963704588,82.5,95,
,D11,SYBR,,Unkn-20,,90,1938.27901802357,82,95,
,D12,SYBR,,Unkn-20,,90,1945.59871699562,81.5,95,
,E01,SYBR,,Std-05,,88,3037.55874531645,84,94,
,E02,SYBR,,Std-05,,88,2964.82302543987,83.5,94,
,E03,SYBR,,Std-05,,88,2866.57817156421,83.5,95,
,E04,SYBR,,Unkn-05,,90.5,1827.10360291272,79,95,
,E05,SYBR,,Unkn-05,,90.5,1825.45102940418,79.5,95,
,E06,SYBR,,Unkn-05,,90.5,1877.24236582049,79,95,
,E07,SYBR,,Unkn-13,,90,1916.16850277413,82.5,95,
,E08,SYBR,,Unkn-13,,90,1877.97615620789,82.5,95,
,E09,SYBR,,Unkn-13,,90,1902.40534935622,82,95,
,E10,SYBR,,Unkn-21,,90.5,1701.20846459532,82,95,
,E11,SYBR,,Unkn-21,,90.5,1729.61501565502,82,95,
,E12,SYBR,,Unkn-21,,90.5,1787.22987720451,81,95,
,F01,SYBR,,Std-06,,88,2933.57090438103,83.5,95,
,F02,SYBR,,Std-06,,88,2401.59198544689,83.5,95,
,F03,SYBR,,Std-06,,88,2629.42154278326,83,95,
,F04,SYBR,,Unkn-06,,90.5,1528.21263467129,69,95,
,F05,SYBR,,Unkn-06,,90.5,1680.78081757157,69,95,
,F06,SYBR,,Unkn-06,,90.5,1589.73212325313,69,95,
,F07,SYBR,,Unkn-14,,90,1836.05443978153,82.5,95,
,F08,SYBR,,Unkn-14,,90,1876.73730003525,82,95,
,F09,SYBR,,Unkn-14,,90,1812.20510216187,82.5,95,
,F10,SYBR,,Unkn-22,,90.5,2131.27773297204,83.5,95,
,F11,SYBR,,Unkn-22,,90.5,2210.57782603785,83.5,95,
,F12,SYBR,,Unkn-22,,90.5,2214.37678691376,83,95,
